<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VNINDEX,20020514,209.88,209.88,209.88,209.88,18880
VNINDEX,20020515,209.82,209.82,209.82,209.82,23640
VNINDEX,20020516,209.08,209.08,209.08,209.08,20980
VNINDEX,20020517,209.79,209.79,209.79,209.79,17910
VNINDEX,20020520,208.14,208.14,208.14,208.14,17350
VNINDEX,20020521,208.93,208.93,208.93,208.93,17920
VNINDEX,20020522,209.66,209.66,209.66,209.66,15360
VNINDEX,20020523,208.93,208.93,208.93,208.93,12490
VNINDEX,20020524,208.04,208.04,208.04,208.04,19290
VNINDEX,20020527,206.30,206.30,206.30,206.30,18610
VNINDEX,20020528,205.02,205.02,205.02,205.02,22140
VNINDEX,20020529,203.65,203.65,203.65,203.65,17050
VNINDEX,20020530,203.77,203.77,203.77,203.77,12860
VNINDEX,20020531,207.12,207.12,207.12,207.12,13920
VNINDEX,20020603,207.81,207.81,207.81,207.81,13180
VNINDEX,20020604,205.68,205.68,205.68,205.68,7340
VNINDEX,20020605,205.48,205.48,205.48,205.48,5390
VNINDEX,20020606,205.07,205.07,205.07,205.07,8460
VNINDEX,20020607,203.26,203.26,203.26,203.26,8460
VNINDEX,20020610,204.88,204.88,204.88,204.88,8870
VNINDEX,20020611,203.53,203.53,203.53,203.53,4000
VNINDEX,20020612,203.79,203.79,203.79,203.79,7870
VNINDEX,20020613,202.35,202.35,202.35,202.35,6550
VNINDEX,20020614,200.75,200.75,200.75,200.75,11690
VNINDEX,20020617,197.77,197.77,197.77,197.77,11800
VNINDEX,20020618,195.59,195.59,195.59,195.59,7190
VNINDEX,20020619,192.13,192.13,192.13,192.13,7630
VNINDEX,20020620,193.32,193.32,193.32,193.32,18840
VNINDEX,20020621,196.89,196.89,196.89,196.89,3300
VNINDEX,20020624,200.50,200.50,200.50,200.50,3830
VNINDEX,20020625,202.40,202.40,202.40,202.40,10620
VNINDEX,20020626,200.50,200.50,200.50,200.50,18920
VNINDEX,20020627,199.61,199.61,199.61,199.61,10810
VNINDEX,20020628,202.06,202.06,202.06,202.06,13560
VNINDEX,20020701,200.26,200.26,200.26,200.26,9890
VNINDEX,20020702,199.94,199.94,199.94,199.94,13040
VNINDEX,20020703,199.61,199.61,199.61,199.61,9260
VNINDEX,20020704,199.70,199.70,199.70,199.70,11750
VNINDEX,20020705,200.50,200.50,200.50,200.50,10880
VNINDEX,20020708,200.19,200.19,200.19,200.19,8920
VNINDEX,20020709,199.00,199.00,199.00,199.00,13770
VNINDEX,20020710,197.27,197.27,197.27,197.27,13150
VNINDEX,20020711,197.25,197.25,197.25,197.25,14280
VNINDEX,20020712,198.17,198.17,198.17,198.17,12400
VNINDEX,20020715,197.37,197.37,197.37,197.37,16910
VNINDEX,20020716,196.85,196.85,196.85,196.85,9600
VNINDEX,20020717,194.30,194.30,194.30,194.30,9040
VNINDEX,20020718,192.42,192.42,192.42,192.42,7400
VNINDEX,20020719,191.25,191.25,191.25,191.25,125600
VNINDEX,20020722,193.36,193.36,193.36,193.36,13390
VNINDEX,20020723,196.85,196.85,196.85,196.85,6640
VNINDEX,20020724,197.42,197.42,197.42,197.42,17950
VNINDEX,20020725,194.49,194.49,194.49,194.49,18430
VNINDEX,20020726,195.79,195.79,195.79,195.79,10650
VNINDEX,20020729,195.16,195.16,195.16,195.16,13200
VNINDEX,20020730,196.94,196.94,196.94,196.94,10570
VNINDEX,20020731,197.57,197.57,197.57,197.57,15160
VNINDEX,20020801,197.12,197.12,197.12,197.12,7490
VNINDEX,20020802,195.06,195.06,195.06,195.06,9240
VNINDEX,20020805,193.67,193.67,193.67,193.67,12760
VNINDEX,20020806,194.34,194.34,194.34,194.34,8680
VNINDEX,20020807,194.06,194.06,194.06,194.06,10690
VNINDEX,20020808,193.39,193.39,193.39,193.39,11030
VNINDEX,20020809,192.49,192.49,192.49,192.49,14080
VNINDEX,20020812,191.53,191.53,191.53,191.53,9570
VNINDEX,20020813,189.78,189.78,189.78,189.78,14780
VNINDEX,20020814,188.73,188.73,188.73,188.73,11850
VNINDEX,20020815,189.55,189.55,189.55,189.55,16540
VNINDEX,20020816,191.67,191.67,191.67,191.67,10530
VNINDEX,20020819,192.67,192.67,192.67,192.67,12570
VNINDEX,20020820,190.96,190.96,190.96,190.96,10800
VNINDEX,20020821,190.90,190.90,190.90,190.90,17380
VNINDEX,20020822,190.95,190.95,190.95,190.95,16950
VNINDEX,20020823,190.21,190.21,190.21,190.21,14920
VNINDEX,20020826,189.97,189.97,189.97,189.97,13400
VNINDEX,20020827,189.32,189.32,189.32,189.32,11080
VNINDEX,20020828,190.54,190.54,190.54,190.54,12530
VNINDEX,20020829,191.28,191.28,191.28,191.28,15950
VNINDEX,20020830,191.66,191.66,191.66,191.66,18160
VNINDEX,20020903,191.43,191.43,191.43,191.43,5820
VNINDEX,20020904,190.59,190.59,190.59,190.59,11510
VNINDEX,20020905,190.54,190.54,190.54,190.54,8190
VNINDEX,20020906,190.45,190.45,190.45,190.45,8220
VNINDEX,20020909,190.21,190.21,190.21,190.21,7270
VNINDEX,20020910,189.86,189.86,189.86,189.86,7530
VNINDEX,20020911,189.40,189.40,189.40,189.40,7520
VNINDEX,20020912,189.14,189.14,189.14,189.14,8000
VNINDEX,20020913,188.72,188.72,188.72,188.72,7840
VNINDEX,20020916,188.66,188.66,188.66,188.66,11610
VNINDEX,20020917,186.87,186.87,186.87,186.87,11050
VNINDEX,20020918,185.00,185.00,185.00,185.00,10940
VNINDEX,20020919,184.69,184.69,184.69,184.69,11110
VNINDEX,20020920,183.83,183.83,183.83,183.83,11650
VNINDEX,20020923,182.33,182.33,182.33,182.33,6950
VNINDEX,20020924,179.93,179.93,179.93,179.93,11650
VNINDEX,20020925,181.66,181.66,181.66,181.66,11610
VNINDEX,20020926,183.67,183.67,183.67,183.67,12300
VNINDEX,20020927,182.62,182.62,182.62,182.62,10260
VNINDEX,20020930,182.13,182.13,182.13,182.13,7620
VNINDEX,20021001,182.97,182.97,182.97,182.97,5650
VNINDEX,20021002,182.84,182.84,182.84,182.84,5330
VNINDEX,20021003,183.40,183.40,183.40,183.40,8810
VNINDEX,20021004,182.49,182.49,182.49,182.49,7190
